Fast,Slow,SL,TP,TSL,ATR,WinRate,Return,Sharpe
1,2,0.0,0.6,0.3,7,34.06,-24.82,-1.75
1,2,0.0,0.6,0.3,11,34.02,-22.32,-1.53
1,2,0.0,0.6,0.3,15,34.0,-23.31,-1.62
1,2,0.0,0.6,0.3,19,34.02,-22.89,-1.58
1,2,0.0,0.6,0.6,3,34.27,-22.4,-1.53
1,2,0.0,0.6,0.6,7,34.06,-24.82,-1.75
1,2,0.0,0.6,0.6,11,34.02,-22.32,-1.53
1,2,0.0,0.6,0.6,15,34.0,-23.31,-1.62
1,2,0.0,0.6,0.6,19,34.02,-22.89,-1.58
1,2,0.0,0.6,0.9,3,34.27,-22.4,-1.53
1,2,0.0,0.6,0.9,7,34.06,-24.82,-1.75
1,2,0.0,0.6,0.9,11,34.02,-22.32,-1.53
1,2,0.0,0.6,0.9,15,34.0,-23.31,-1.62
1,2,0.0,0.6,0.9,19,34.02,-22.89,-1.58
1,2,0.0,0.6,1.2,3,34.27,-22.4,-1.53
1,2,0.0,0.6,1.2,7,34.06,-24.82,-1.75
1,2,0.0,0.6,1.2,11,34.02,-22.32,-1.53
1,2,0.0,0.6,1.2,15,34.0,-23.31,-1.62
1,2,0.0,0.6,1.2,19,34.02,-22.89,-1.58
1,2,0.0,0.6,1.5,3,34.27,-22.4,-1.53
1,2,0.0,0.6,1.5,7,34.06,-24.82,-1.75
1,2,0.0,0.6,1.5,11,34.02,-22.32,-1.53
1,2,0.0,0.6,1.5,15,34.0,-23.31,-1.62
1,2,0.0,0.6,1.5,19,34.02,-22.89,-1.58
1,2,0.0,0.6,1.8,3,34.27,-22.4,-1.53
1,2,0.0,0.6,1.8,7,34.06,-24.82,-1.75
1,2,0.0,0.6,1.8,11,34.02,-22.32,-1.53
1,2,0.0,0.6,1.8,15,34.0,-23.31,-1.62
1,2,0.0,0.6,1.8,19,34.02,-22.89,-1.58
1,2,0.0,0.6,2.1,3,34.27,-22.4,-1.53
1,2,0.0,0.6,2.1,7,34.06,-24.82,-1.75
1,2,0.0,0.6,2.1,11,34.02,-22.32,-1.53
1,2,0.0,0.6,2.1,15,34.0,-23.31,-1.62
1,2,0.0,0.6,2.1,19,34.02,-22.89,-1.58
1,2,0.0,0.9,0.0,3,32.97,-19.54,-1.24
1,2,0.0,0.9,0.0,7,32.74,-21.5,-1.38
1,2,0.0,0.9,0.0,11,32.72,-20.39,-1.29
1,2,0.0,0.9,0.0,15,32.7,-18.92,-1.18
1,2,0.0,0.9,0.0,19,32.66,-19.18,-1.19
1,2,0.0,0.9,0.3,3,33.08,-20.91,-1.35
1,2,0.0,0.9,0.3,7,32.87,-21.65,-1.39
1,2,0.0,0.9,0.3,11,32.85,-20.28,-1.29
1,2,0.0,0.9,0.3,15,32.82,-18.72,-1.16
1,2,0.0,0.9,0.3,19,32.78,-18.97,-1.18
1,2,0.0,0.9,0.6,3,33.08,-20.91,-1.35
1,2,0.0,0.9,0.6,7,32.87,-21.65,-1.39
1,2,0.0,0.9,0.6,11,32.85,-20.28,-1.29
1,2,0.0,0.9,0.6,15,32.82,-18.72,-1.16
1,2,0.0,0.9,0.6,19,32.78,-18.97,-1.18
1,2,0.0,0.9,0.9,3,33.08,-20.91,-1.35
1,2,0.0,0.9,0.9,7,32.87,-21.65,-1.39
1,2,0.0,0.9,0.9,11,32.85,-20.28,-1.29
1,2,0.0,0.9,0.9,15,32.82,-18.72,-1.16
1,2,0.0,0.9,0.9,19,32.78,-18.97,-1.18
1,2,0.0,0.9,1.2,3,33.08,-20.91,-1.35
1,2,0.0,0.9,1.2,7,32.87,-21.65,-1.39
1,2,0.0,0.9,1.2,11,32.85,-20.28,-1.29
1,2,0.0,0.9,1.2,15,32.82,-18.72,-1.16
1,2,0.0,0.9,1.2,19,32.78,-18.97,-1.18
1,2,0.0,0.9,1.5,3,33.08,-20.91,-1.35
1,2,0.0,0.9,1.5,7,32.87,-21.65,-1.39
1,2,0.0,0.9,1.5,11,32.85,-20.28,-1.29
1,2,0.0,0.9,1.5,15,32.82,-18.72,-1.16
1,2,0.0,0.9,1.5,19,32.78,-18.97,-1.18
